rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
6,6,-3,OLD,20248513,바람의 세월,2024-04-03,4504839,1.6,-1858900,-29.2,33216717,504,-288,-36.4,3901,43,44,2024-04-06
7,7,0,OLD,20236456,라스트 썸머,2024-04-03,3835900,1.4,903500,30.8,19984300,452,96,27,2335,28,30,2024-04-06
8,8,2,OLD,19869057,영웅본색,1987-05-23,2104117,0.8,706478,50.5,159784986,272,97,55.4,23190,33,34,2024-04-06
9,9,2,OLD,20234730,추락의 해부,2024-01-31,2359500,0.8,606000,34.6,994650810,246,72,41.4,100934,17,18,2024-04-06
10,10,-2,OLD,20108090,흑기사,1973-10-24,430000,0.2,20000,4.9,25002500,215,10,4.9,11960,1,4,2024-04-06
1,1,0,OLD,20231677,남은 인생 10년,2023-05-24,250617797,79.2,44517259,21.6,2151571856,25211,4417,21.2,206861,413,652,2024-04-07
2,2,0,OLD,20235838,악은 존재하지 않는다,2024-03-27,14447400,4.6,-3297095,-18.6,288912741,1463,-364,-19.9,28965,89,119,2024-04-07
3,3,0,OLD,20234619,로봇 드림,2024-03-13,13089400,4.1,1013222,8.4,291704515,1173,94,8.7,29562,45,53,2024-04-07
4,4,1,OLD,20173226,패왕별희 디 오리지널,2017-03-30,5893537,1.9,-450136,-7.1,1325641087,737,-58,-7.3,144911,67,78,2024-04-07
5,5,-1,OLD,20235841,키메라,2024-04-03,7916400,2.5,-1921030,-19.5,48124869,699,-207,-22.8,4808,47,65,2024-04-07
6,6,0,OLD,20248513,바람의 세월,2024-04-03,4668700,1.5,163861,3.6,37885417,540,36,7.1,4441,43,46,2024-04-07
7,7,0,OLD,20236456,라스트 썸머,2024-04-03,2536500,0.8,-1299400,-33.9,22520800,299,-153,-33.8,2634,27,29,2024-04-07
8,8,1,OLD,20234730,추락의 해부,2024-01-31,2227800,0.7,-131700,-5.6,996878610,241,-5,-2,101175,17,18,2024-04-07
9,9,3,OLD,20176562,예수는 역사다,2017-07-13,1823000,0.6,283000,18.4,1350910392,200,39,24.2,185366,1,1,2024-04-07
10,10,-2,OLD,19869057,영웅본색,1987-05-23,1555400,0.5,-548717,-26.1,161340386,198,-74,-27.2,23388,29,29,2024-04-07
1,1,0,OLD,20231677,남은 인생 10년,2023-05-24,60996170,70.4,-189621627,-75.7,2212568026,6273,-18938,-75.1,213134,368,582,2024-04-08
2,2,0,OLD,20235838,악은 존재하지 않는다,2024-03-27,6611478,7.6,-7835922,-54.2,295524219,709,-754,-51.5,29674,94,117,2024-04-08
3,3,2,OLD,20235841,키메라,2024-04-03,3152600,3.6,-4763800,-60.2,51277469,348,-351,-50.2,5156,43,58,2024-04-08
4,4,0,OLD,20173226,패왕별희 디 오리지널,2017-03-30,2379017,2.7,-3514520,-59.6,1328020104,309,-428,-58.1,145220,59,66,2024-04-08
5,5,2,OLD,20236456,라스트 썸머,2024-04-03,2504900,2.9,-31600,-1.2,25025700,302,3,1,2936,30,33,2024-04-08
6,6,-3,OLD,20234619,로봇 드림,2024-03-13,2613500,3.0,-10475900,-80,294318015,280,-893,-76.1,29842,33,39,2024-04-08
7,7,-1,OLD,20248513,바람의 세월,2024-04-03,1899378,2.2,-2769322,-59.3,39784795,220,-320,-59.3,4661,40,41,2024-04-08
8,8,3,OLD,20108090,흑기사,1973-10-24,386000,0.4,44000,12.9,25730500,193,26,15.6,12320,1,4,2024-04-08
