rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
5,5,1,OLD,20198414,시동,2019-12-18,120847820,7.1,-212892950,-63.8,27671231760,14667,-22572,-60.6,3266013,571,1477,2020-01-13
6,6,-1,OLD,20196272,미드웨이,2019-12-31,108549780,6.4,-228105320,-67.8,7741211150,13416,-24780,-64.9,897656,535,1302,2020-01-13
7,7,0,OLD,20197803,겨울왕국 2,2019-11-21,48541200,2.9,-101718620,-67.7,114343686910,6083,-11107,-64.6,13690731,380,587,2020-01-13
8,8,0,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,21467380,1.3,-94410920,-81.5,6864739610,2938,-11091,-79.1,870099,241,284,2020-01-13
9,9,1,OLD,20198430,나이브스 아웃,2019-12-04,22275580,1.3,-35620360,-61.5,6447611530,2628,-3566,-57.6,755719,114,183,2020-01-13
10,10,-1,OLD,20192401,포드 V 페라리,2019-12-04,18362800,1.1,-43321820,-70.2,11700824780,2165,-4403,-67,1326017,126,193,2020-01-13
1,1,0,OLD,20199581,닥터 두리틀,2020-01-08,611943270,36.8,-31455270,-4.9,9158736330,77440,-3326,-4.1,1087828,1160,5215,2020-01-14
2,2,0,OLD,20192206,백두산,2019-12-19,260282090,15.6,-16532170,-6,68225071100,32512,-1705,-5,8063153,819,3013,2020-01-14
3,3,0,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,164410000,9.9,-24672710,-13,3925969810,18614,-2814,-13.1,421551,780,2677,2020-01-14
4,4,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,128204960,7.7,-7529090,-5.5,15889351480,16346,-848,-4.9,1919913,660,1784,2020-01-14
5,5,0,OLD,20198414,시동,2019-12-18,119972380,7.2,-875440,-0.7,27791204140,14846,179,1.2,3280859,599,1504,2020-01-14
6,6,0,OLD,20196272,미드웨이,2019-12-31,98577640,5.9,-9972140,-9.2,7839788790,12234,-1182,-8.8,909890,543,1306,2020-01-14
7,7,0,OLD,20197803,겨울왕국 2,2019-11-21,50738580,3.0,2197380,4.5,114394425490,6384,301,4.9,13697115,381,571,2020-01-14
8,8,10,OLD,20192300,스파이 지니어스 ,2020-01-22,31028000,1.9,21857000,238.3,74192000,3132,2113,207.4,7810,17,17,2020-01-14
9,9,-1,OLD,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,21920840,1.3,453460,2.1,6886660450,3000,62,2.1,873099,241,286,2020-01-14
10,10,-1,OLD,20198430,나이브스 아웃,2019-12-04,23562660,1.4,1287080,5.8,6471174190,2787,159,6.1,758506,115,181,2020-01-14
1,1,24,OLD,20183002,해치지않아,2020-01-15,849838670,36.2,846762170,27523.6,1169197170,108280,107927,30574.2,145512,1104,5244,2020-01-15
2,2,0,NEW,20196670,나쁜 녀석들: 포에버,2020-01-15,525916520,22.4,525916520,100,529705520,62177,62177,100,62608,876,3783,2020-01-15
3,3,-2,OLD,20199581,닥터 두리틀,2020-01-08,395775020,16.8,-216168250,-35.3,9554511350,50357,-27083,-35,1138185,887,3552,2020-01-15
4,4,-2,OLD,20192206,백두산,2019-12-19,167200060,7.1,-93082030,-35.8,68392271160,21031,-11481,-35.3,8084184,598,1716,2020-01-15
5,5,-2,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,71569840,3.0,-92840160,-56.5,3997539650,8304,-10310,-55.4,429855,477,984,2020-01-15
6,6,-2,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,56679600,2.4,-71525360,-55.8,15946031080,7217,-9129,-55.8,1927130,432,761,2020-01-15
7,7,-2,OLD,20198414,시동,2019-12-18,44348460,1.9,-75623920,-63,27835552600,5427,-9419,-63.4,3286286,347,613,2020-01-15
8,8,-2,OLD,20196272,미드웨이,2019-12-31,42455000,1.8,-56122640,-56.9,7882243790,5404,-6830,-55.8,915294,289,449,2020-01-15
9,9,-2,OLD,20197803,겨울왕국 2,2019-11-21,24589500,1.0,-26149080,-51.5,114419014990,3207,-3177,-49.8,13700322,193,241,2020-01-15
10,10,7,OLD,20192101,히트맨,2020-01-22,23967000,1.0,11808000,97.1,38222000,2663,1312,97.1,4276,14,14,2020-01-15
1,1,0,OLD,20183002,해치지않아,2020-01-15,746989720,34.9,-102848950,-12.1,1916186890,94364,-13916,-12.9,239876,1133,5275,2020-01-16
2,2,0,OLD,20196670,나쁜 녀석들: 포에버,2020-01-15,422873150,19.8,-103043370,-19.6,952578670,50124,-12053,-19.4,112732,879,3606,2020-01-16
3,3,0,OLD,20199581,닥터 두리틀,2020-01-08,349393740,16.3,-46381280,-11.7,9903905090,44833,-5524,-11,1183018,919,3587,2020-01-16
4,4,0,OLD,20192206,백두산,2019-12-19,150656960,7.0,-16543100,-9.9,68542928120,19001,-2030,-9.7,8103185,623,1712,2020-01-16
5,5,0,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,68388620,3.2,-3181220,-4.4,4065928270,7910,-394,-4.7,437765,463,916,2020-01-16
6,6,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,53462180,2.5,-3217420,-5.7,15999493260,6845,-372,-5.2,1933975,430,762,2020-01-16
7,7,0,NEW,20198676,타오르는 여인의 초상,2020-01-16,49006120,2.3,49006120,100,84288020,6530,6530,100,10171,72,154,2020-01-16
8,8,2,OLD,20192101,히트맨,2020-01-22,40894000,1.9,16927000,70.6,79116000,4770,2107,79.1,9046,21,22,2020-01-16
9,9,-2,OLD,20198414,시동,2019-12-18,38398620,1.8,-5949840,-13.4,27873951220,4714,-713,-13.1,3291000,338,576,2020-01-16
10,10,-2,OLD,20196272,미드웨이,2019-12-31,36293200,1.7,-6161800,-14.5,7918536990,4581,-823,-15.2,919875,282,417,2020-01-16
1,1,0,OLD,20183002,해치지않아,2020-01-15,920524920,36.1,173535200,23.2,2836711810,105946,11582,12.3,345822,1137,5552,2020-01-17
2,2,0,OLD,20196670,나쁜 녀석들: 포에버,2020-01-15,548876940,21.5,126003790,29.8,1501455610,58795,8671,17.3,171527,875,3616,2020-01-17
3,3,0,OLD,20199581,닥터 두리틀,2020-01-08,427338960,16.8,77945220,22.3,10331244050,50520,5687,12.7,1233538,939,3810,2020-01-17
4,4,0,OLD,20192206,백두산,2019-12-19,169453780,6.7,18796820,12.5,68712381900,19377,376,2,8122562,615,1710,2020-01-17
5,5,0,OLD,20195462,스타워즈: 라이즈 오브 스카이워커,2020-01-08,93320340,3.7,24931720,36.5,4159248610,9882,1972,24.9,447647,445,884,2020-01-17
6,6,0,OLD,20184571,천문: 하늘에 묻는다,2019-12-26,62644680,2.5,9182500,17.2,16062137940,7318,473,6.9,1941293,435,758,2020-01-17
7,7,0,OLD,20198676,타오르는 여인의 초상,2020-01-16,49174720,1.9,168600,0.3,133462740,5681,-849,-13,15852,96,194,2020-01-17
8,8,2,OLD,20196272,미드웨이,2019-12-31,41715140,1.6,5421940,14.9,7960252130,4759,178,3.9,924634,279,423,2020-01-17
9,9,0,OLD,20198414,시동,2019-12-18,35432720,1.4,-2965900,-7.7,27909383940,4014,-700,-14.8,3295014,326,556,2020-01-17
10,10,1,OLD,20197803,겨울왕국 2,2019-11-21,27377440,1.1,218900,0.8,114473550970,3396,-222,-6.1,13707336,206,254,2020-01-17
1,1,0,OLD,20183002,해치지않아,2020-01-15,2138136630,38.6,1217611710,132.3,4974848440,245755,139809,132,591577,1216,5968,2020-01-18
2,2,0,OLD,20196670,나쁜 녀석들: 포에버,2020-01-15,1152804950,20.8,603928010,110,2654260560,123462,64667,110,294989,887,3629,2020-01-18
