movieNm,movieCd,openDt,salesAcc,audiAcc,scrnCnt,showTm,typeNm,nationNm,genreNm,director,actor1,actor2,showTypeGroupNm,showTypeNm,audits,commercial,first_until_weekday_audiAcc,first_until_weekday_salesAcc,1_weeks_audiAcc,1_weeks_salesAcc,2_weeks_audiAcc,2_weeks_salesAcc,3_weeks_audiAcc,3_weeks_salesAcc,4_weeks_audiAcc,4_weeks_salesAcc,5_weeks_audiAcc,5_weeks_salesAcc,6_weeks_audiAcc,6_weeks_salesAcc,7_weeks_audiAcc,7_weeks_salesAcc,8_weeks_audiAcc,8_weeks_salesAcc
고장난 론,20210865,2021-10-27,1378250240,152171,8324,106.0,장편,미국,애니메이션,사라 스미스,자크 갈리피아나키스, 잭 딜런 그레이저,"2D, 2D","디지털, 디지털 더빙",전체관람가,0,84647.0,757606280.0,95836.0,862854510.0,140194.0,1274712090.0,152171.0,1378250240.0,152171.0,1378250240.0,152171.0,1378250240.0,152171.0,1378250240.0,152171.0,1378250240.0,152171.0,1378250240.0
고질라 VS. 콩,20215850,2021-03-25,6727474690,698632,22639,113.0,장편,미국,액션,아담 윈가드,알렉산더 스카스가드, 밀리 바비 브라운,"2D, 4D, IMAX, DOLBYCINEMA","디지털, 4D, IMAX, DOLBYCINEMA",12세이상관람가,0,325086.0,3151518220.0,400880.0,3786910320.0,592607.0,5686432550.0,666869.0,6416041580.0,690877.0,6651696020.0,698632.0,6727474690.0,698632.0,6727474690.0,698632.0,6727474690.0,698632.0,6727474690.0
고질라 X 콩: 뉴 엠파이어,20248496,2024-03-27,3221961514,321128,4686,114.0,장편,미국,액션,아담 윈가드,댄 스티븐스, 레베카 홀,"2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가,0,321128.0,3221961514.0,321128.0,3221961514.0,321128.0,3221961514.0,321128.0,3221961514.0,321128.0,3221961514.0,321128.0,3221961514.0,321128.0,3221961514.0,321128.0,3221961514.0,321128.0,3221961514.0
고질라: 킹 오브 몬스터,20184865,2019-05-29,3042589068,353890,5435,,,,,,,,,,,0,301152.0,2595753538.0,328023.0,2840017188.0,353890.0,3042589068.0,353890.0,3042589068.0,353890.0,3042589068.0,353890.0,3042589068.0,353890.0,3042589068.0,353890.0,3042589068.0,353890.0,3042589068.0
곡성,20140194,2016-05-12,55704134582,6860489,34656,,,,,,,,,,,0,2319396.0,19160332382.0,3024092.0,24453459182.0,4963008.0,40196498906.0,5878158.0,47626158121.0,6524686.0,52945429603.0,6733789.0,54664575303.0,6828505.0,55437969882.0,6860489.0,55704134582.0,6860489.0,55704134582.0
곤지암,20180804,2018-03-28,21413363544,2672249,20358,,,,,,,,,,,0,67929.0,531447300.0,1564462.0,12264543074.0,2335948.0,18550388008.0,2592694.0,20723691344.0,2672249.0,21413363544.0,2672249.0,21413363544.0,2672249.0,21413363544.0,2672249.0,21413363544.0,2672249.0,21413363544.0
골드,20170221,2017-03-22,166376500,21477,750,,,,,,,,,,,1,,,21477.0,166376500.0,21477.0,166376500.0,21477.0,166376500.0,21477.0,166376500.0,21477.0,166376500.0,21477.0,166376500.0,21477.0,166376500.0,21477.0,166376500.0
골든슬럼버,20168250,2018-02-14,11288964898,1369546,9973,,,,,,,,,,,0,982631.0,8231613582.0,1093094.0,9069271882.0,1369546.0,11288964898.0,1369546.0,11288964898.0,1369546.0,11288964898.0,1369546.0,11288964898.0,1369546.0,11288964898.0,1369546.0,11288964898.0,1369546.0,11288964898.0
곰돌이 푸 다시 만나 행복해,20189123,2018-10-03,4070110510,488794,8781,,,,,,,,,,,0,227697.0,1957751310.0,313386.0,2662279560.0,409678.0,3487324410.0,466489.0,3905690910.0,488794.0,4070110510.0,488794.0,4070110510.0,488794.0,4070110510.0,488794.0,4070110510.0,488794.0,4070110510.0
곰돌이 푸: 피와 꿀,20231144,2023-04-06,33443212,3031,373,84.0,장편,영국,공포(호러),,,,2D,디지털,청소년관람불가,0,,,3031.0,33443212.0,3031.0,33443212.0,3031.0,33443212.0,3031.0,33443212.0,3031.0,33443212.0,3031.0,33443212.0,3031.0,33443212.0,3031.0,33443212.0
공각기동대 : 고스트 인 더 쉘,20163194,2017-03-29,6187635784,751579,8711,,,,,,,,,,,0,569701.0,4708893037.0,632425.0,5205533637.0,750046.0,6176547384.0,751579.0,6187635784.0,751579.0,6187635784.0,751579.0,6187635784.0,751579.0,6187635784.0,751579.0,6187635784.0,751579.0,6187635784.0
공기살인,20204845,2022-04-22,1473339250,158265,7824,107.0,장편,한국,드라마,조용선,김상경, 이선빈,2D,디지털,12세이상관람가,0,70265.0,686217030.0,113139.0,1036819170.0,151468.0,1418406850.0,154731.0,1450131550.0,154731.0,1450131550.0,154731.0,1450131550.0,154731.0,1450131550.0,154731.0,1450131550.0,154731.0,1450131550.0
공범자들,20179187,2017-08-17,1923814400,245230,5264,,,,,,,,,,,1,65970.0,539577100.0,96148.0,762622800.0,172009.0,1355870500.0,219778.0,1729335900.0,245230.0,1923814400.0,245230.0,1923814400.0,245230.0,1923814400.0,245230.0,1923814400.0,245230.0,1923814400.0
공작,20179101,2018-08-08,42730172626,4966175,27450,,,,,,,,,,,0,2066490.0,17850903586.0,2623315.0,22361166086.0,4220639.0,36398750076.0,4736354.0,40893590276.0,4901476.0,42212026776.0,4959244.0,42677047776.0,4966175.0,42730172626.0,4966175.0,42730172626.0,4966175.0,42730172626.0
공조,20151228,2017-01-18,63684612826,7804820,33427,,,,,,,,,,,0,1153989.0,9464480585.0,1428021.0,11538610135.0,4860116.0,39863545569.0,6514866.0,53263731687.0,7396883.0,60427567148.0,7719009.0,63020868826.0,7804820.0,63684612826.0,7804820.0,63684612826.0,7804820.0,63684612826.0
공조2: 인터내셔날,20215601,2022-09-07,70890761007,6979189,72429,128.0,장편,한국,액션,이석훈,현빈, 유해진,"2D, 2D","디지털, 디지털 가치봄",15세이상관람가,0,2611091.0,27071535309.0,3544785.0,36640061082.0,4919914.0,50716032849.0,5668137.0,58325685418.0,6246543.0,64104649189.0,6624852.0,67999738050.0,6802308.0,69491791270.0,6913606.0,70423404674.0,6955441.0,70724870452.0
공포분자,20080850,2020-09-17,13557100,1971,51,108.0,장편,기타,드라마,에드워드 양,무건인, 왕 안,"필름, 2D","필름, 디지털",15세이상관람가,1,,,1971.0,13557100.0,1971.0,13557100.0,1971.0,13557100.0,1971.0,13557100.0,1971.0,13557100.0,1971.0,13557100.0,1971.0,13557100.0,1971.0,13557100.0
공포의 묘지,20197423,2019-04-10,809656436,92642,3097,,,,,,,,,,,0,87134.0,763547676.0,92642.0,809656436.0,92642.0,809656436.0,92642.0,809656436.0,92642.0,809656436.0,92642.0,809656436.0,92642.0,809656436.0,92642.0,809656436.0,92642.0,809656436.0
공포체험라디오 4DX,20206679,2020-09-16,4956500,538,37,50.0,장편,한국,공포(호러),서정희,,,4D,4D,15세이상관람가,0,,,538.0,4956500.0,538.0,4956500.0,538.0,4956500.0,538.0,4956500.0,538.0,4956500.0,538.0,4956500.0,538.0,4956500.0,538.0,4956500.0
관계의 가나다에 있는 우리는,20199022,2021-01-28,14715000,2141,12,100.0,장편,한국,드라마,이인의,은해성, 오하늬,"2D, 2D","디지털, 디지털 영문자막",전체관람가,1,,,2141.0,14715000.0,2141.0,14715000.0,2141.0,14715000.0,2141.0,14715000.0,2141.0,14715000.0,2141.0,14715000.0,2141.0,14715000.0,2141.0,14715000.0
