rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date
3,3,-1,OLD,20212866,서울의 봄,2023-11-22,1095553474,21.9,558622518,104,121200396954,108206,54418,101.2,12442486,1287,4136,2024-01-06
4,4,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,287558914,5.7,133996606,87.3,6937385527,29474,13604,85.7,717737,628,1150,2024-01-06
5,5,0,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,169535580,3.4,78517302,86.3,8514419642,17366,8144,88.3,829351,549,823,2024-01-06
6,6,1,OLD,20234114,괴물,2023-11-29,81768123,1.6,31937836,64.1,4134559731,8015,3056,61.6,420976,200,287,2024-01-06
7,7,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,80452705,1.6,19381476,31.7,50338639349,7707,1687,28,4814115,290,419,2024-01-06
8,8,0,OLD,20235596,트롤: 밴드 투게더,2023-12-20,57730530,1.2,24090791,71.6,3601607528,6114,2570,72.5,389798,334,408,2024-01-06
9,9,1,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,49089589,1.0,22575539,85.1,3230404819,5168,2409,87.3,352306,216,299,2024-01-06
10,10,1,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,22361510,0.4,8220960,58.1,468881460,2766,973,54.3,57429,163,201,2024-01-06
1,1,0,OLD,20235834,위시,2024-01-03,1635454775,36.0,-219476392,-11.8,5995723570,167083,-22364,-11.8,622619,1421,5853,2024-01-07
2,2,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,1037262051,22.8,-88436903,-7.9,41152784611,104749,-9192,-8.1,4168033,1401,4096,2024-01-07
3,3,0,OLD,20212866,서울의 봄,2023-11-22,975799375,21.5,-119754099,-10.9,122176196329,96517,-11689,-10.8,12539003,1276,3886,2024-01-07
4,4,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,305432887,6.7,17873973,6.2,7242818414,31357,1883,6.4,749094,623,1131,2024-01-07
5,5,0,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,154622861,3.4,-14912719,-8.8,8669042503,15709,-1657,-9.5,845060,526,783,2024-01-07
6,6,1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,85745300,1.9,5292595,6.6,50424384649,8236,529,6.9,4822351,282,407,2024-01-07
7,7,-1,OLD,20234114,괴물,2023-11-29,74439121,1.6,-7329002,-9,4208998852,7324,-691,-8.6,428300,195,281,2024-01-07
8,8,0,OLD,20235596,트롤: 밴드 투게더,2023-12-20,61696908,1.4,3966378,6.9,3663304436,6575,461,7.5,396373,344,418,2024-01-07
9,9,0,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,53734323,1.2,4644734,9.5,3284139142,5545,377,7.3,357851,219,297,2024-01-07
10,10,0,OLD,20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,26422800,0.6,4061290,18.2,495304260,3240,474,17.1,60669,159,197,2024-01-07
1,1,0,OLD,20235834,위시,2024-01-03,437528994,32.1,-1197925781,-73.2,6433252564,46317,-120766,-72.3,668936,1208,4835,2024-01-08
2,2,1,OLD,20212866,서울의 봄,2023-11-22,318532124,23.3,-657267251,-67.4,122494728453,32765,-63752,-66.1,12571768,1179,3531,2024-01-08
3,3,-1,OLD,20203702,노량: 죽음의 바다,2023-12-20,291692138,21.4,-745569913,-71.9,41444476749,30628,-74121,-70.8,4198661,1262,3554,2024-01-08
4,4,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,97489970,7.1,-207942917,-68.1,7340308384,10321,-21036,-67.1,759415,559,1013,2024-01-08
5,5,0,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,54776760,4.0,-99846101,-64.6,8723819263,5744,-9965,-63.4,850804,502,765,2024-01-08
6,6,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,34430232,2.5,-51315068,-59.8,50458814881,3494,-4742,-57.6,4825845,273,409,2024-01-08
7,7,0,OLD,20234114,괴물,2023-11-29,33594616,2.5,-40844505,-54.9,4242593468,3414,-3910,-53.4,431714,200,282,2024-01-08
8,8,0,OLD,20235596,트롤: 밴드 투게더,2023-12-20,19547195,1.4,-42149713,-68.3,3682851631,2150,-4425,-67.3,398523,262,314,2024-01-08
9,9,0,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,11820000,0.9,-41914323,-78,3295959142,1344,-4201,-75.8,359195,161,210,2024-01-08
10,10,1,OLD,20235980,말하고 싶은 비밀,2023-12-13,8839995,0.6,-13479712,-60.4,968982530,861,-1241,-59,99221,64,82,2024-01-08
1,1,0,OLD,20235834,위시,2024-01-03,398046289,31.6,-39482705,-9,6831298853,42542,-3775,-8.2,711478,1235,4704,2024-01-09
2,2,0,OLD,20212866,서울의 봄,2023-11-22,283344273,22.5,-35187851,-11,122778072726,29076,-3689,-11.3,12600844,1191,3478,2024-01-09
3,3,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,257137305,20.4,-34554833,-11.8,41701614054,26983,-3645,-11.9,4225644,1277,3496,2024-01-09
4,4,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,90336022,7.2,-7153948,-7.3,7430644406,9614,-707,-6.9,769029,581,1045,2024-01-09
5,5,0,OLD,20235735,아쿠아맨과 로스트 킹덤,2023-12-20,54722331,4.3,-54429,-0.1,8778541594,5702,-42,-0.7,856506,509,773,2024-01-09
6,6,1,OLD,20234114,괴물,2023-11-29,35314085,2.8,1719469,5.1,4277907553,3683,269,7.9,435397,205,286,2024-01-09
7,7,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,31794874,2.5,-2635358,-7.7,50490609755,3245,-249,-7.1,4829090,270,405,2024-01-09
8,8,0,OLD,20235596,트롤: 밴드 투게더,2023-12-20,22265016,1.8,2717821,13.9,3705116647,2573,423,19.7,401096,258,303,2024-01-09
9,9,0,OLD,20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,10638150,0.8,-1181850,-10,3306597292,1319,-25,-1.9,360514,141,180,2024-01-09
10,10,0,OLD,20235980,말하고 싶은 비밀,2023-12-13,9793629,0.8,953634,10.8,978776159,971,110,12.8,100192,70,92,2024-01-09
1,1,17,OLD,20235253,외계+인 2부,2024-01-10,891171979,38.7,888501979,33277.2,986049979,94495,94228,35291.4,103534,1268,5147,2024-01-10
2,2,-1,OLD,20235834,위시,2024-01-03,327736171,14.2,-70310118,-17.7,7159035024,35622,-6920,-16.3,747100,865,2589,2024-01-10
3,3,-1,OLD,20212866,서울의 봄,2023-11-22,231591545,10.1,-51752728,-18.3,123009664271,24108,-4968,-17.1,12624952,840,2164,2024-01-10
4,4,-1,OLD,20203702,노량: 죽음의 바다,2023-12-20,195353094,8.5,-61784211,-24,41896967148,21198,-5785,-21.4,4246842,891,2116,2024-01-10
5,5,0,NEW,20235583,인투 더 월드,2024-01-10,132203470,5.7,132203470,100,240943470,14739,14739,100,26652,807,1922,2024-01-10
6,6,22,OLD,20235353,길위에 김대중,2024-01-10,104657368,4.5,103532368,9202.9,255404368,10915,10790,8632,27359,404,579,2024-01-10
7,7,0,NEW,20236557,스즈메의 문단속: 다녀왔어,2024-01-10,57713671,2.5,57713671,100,72444401,6145,6145,100,7336,168,187,2024-01-10
8,8,-4,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,58477619,2.5,-31858403,-35.3,7489122025,6083,-3531,-36.7,775112,387,519,2024-01-10
9,9,0,NEW,20236907,지오디 마스터피스 더 무비,2024-01-10,119803500,5.2,119803500,100,119803500,5209,5209,100,5209,67,116,2024-01-10
10,10,-4,OLD,20234114,괴물,2023-11-29,40624984,1.8,5310899,15,4318532537,4343,660,17.9,439740,164,215,2024-01-10
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,603565349,33.8,-287606630,-32.3,1589615328,64993,-29502,-31.2,168527,1269,5047,2024-01-11
2,2,0,OLD,20235834,위시,2024-01-03,306197310,17.1,-21538861,-6.6,7465232334,33585,-2037,-5.7,780685,876,2607,2024-01-11
3,3,0,OLD,20212866,서울의 봄,2023-11-22,215924836,12.1,-15666709,-6.8,123225589107,22640,-1468,-6.1,12647592,842,2167,2024-01-11
4,4,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,189908479,10.6,-5444615,-2.8,42086875627,20409,-789,-3.7,4267251,910,2121,2024-01-11
5,5,0,OLD,20235583,인투 더 월드,2024-01-10,118161952,6.6,-14041518,-10.6,359105422,13356,-1383,-9.4,40008,791,1803,2024-01-11
6,6,2,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,55333276,3.1,-3144343,-5.4,7544455301,5757,-326,-5.4,780869,406,541,2024-01-11
7,7,-1,OLD,20235353,길위에 김대중,2024-01-10,51286290,2.9,-53371078,-51,306690658,5453,-5462,-50,32812,404,551,2024-01-11
8,8,4,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,32213634,1.8,8923596,38.3,50546113427,3196,910,39.8,4834572,204,241,2024-01-11
9,9,1,OLD,20234114,괴물,2023-11-29,28819551,1.6,-11805433,-29.1,4347352088,3066,-1277,-29.4,442806,166,224,2024-01-11
10,10,0,NEW,20206946,시민덕희,2024-01-24,27567000,1.5,27567000,100,27567000,3063,3063,100,3063,12,14,2024-01-11
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,816243397,36.8,212678048,35.2,2405858725,84840,19847,30.5,253367,1335,5325,2024-01-12
2,2,0,OLD,20235834,위시,2024-01-03,384017259,17.3,77819949,25.4,7849249593,40569,6984,20.8,821254,933,2762,2024-01-12
3,3,0,OLD,20212866,서울의 봄,2023-11-22,273548682,12.3,57623846,26.7,123499137789,27486,4846,21.4,12675078,882,2270,2024-01-12
4,4,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,242798727,11.0,52890248,27.9,42329674354,25169,4760,23.3,4292420,962,2235,2024-01-12
5,5,0,OLD,20235583,인투 더 월드,2024-01-10,133682447,6.0,15520495,13.1,492787869,14687,1331,10,54695,795,1787,2024-01-12
6,6,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,63635158,2.9,8301882,15,7608090459,6410,653,11.3,787279,416,568,2024-01-12
7,7,0,OLD,20235353,길위에 김대중,2024-01-10,54027477,2.4,2741187,5.3,360718135,5432,-21,-0.4,38244,397,555,2024-01-12
8,8,1,OLD,20234114,괴물,2023-11-29,37411813,1.7,8592262,29.8,4384763901,3706,640,20.9,446512,175,242,2024-01-12
9,9,-1,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,32910804,1.5,697170,2.2,50579024231,3073,-123,-3.8,4837645,206,256,2024-01-12
10,10,1,OLD,20236557,스즈메의 문단속: 다녀왔어,2024-01-10,28057942,1.3,-341022,-1.2,128901307,2717,-190,-6.5,12960,176,196,2024-01-12
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,2023303089,39.6,1207059692,147.9,4429161814,206416,121576,143.3,459783,1390,5770,2024-01-13
2,2,0,OLD,20235834,위시,2024-01-03,893476498,17.5,509459239,132.7,8742726091,90971,50402,124.2,912225,1069,3325,2024-01-13
3,3,0,OLD,20212866,서울의 봄,2023-11-22,565592735,11.1,292044053,106.8,124064730524,55697,28211,102.6,12730775,923,2274,2024-01-13
4,4,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,500404182,9.8,257605455,106.1,42830078536,51535,26366,104.8,4343955,981,2312,2024-01-13
5,5,0,OLD,20235583,인투 더 월드,2024-01-10,403668678,7.9,269986231,202,896456547,42741,28054,191,97436,839,1919,2024-01-13
6,6,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,167834167,3.3,104199009,163.7,7775924626,17072,10662,166.3,804351,478,723,2024-01-13
7,7,0,OLD,20235353,길위에 김대중,2024-01-10,102383748,2.0,48356271,89.5,463101883,10173,4741,87.3,48417,414,577,2024-01-13
8,8,0,OLD,20234114,괴물,2023-11-29,56881947,1.1,19470134,52,4441645848,5422,1716,46.3,451934,180,241,2024-01-13
9,9,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,56176402,1.1,23265598,70.7,50635200633,5157,2084,67.8,4842802,212,258,2024-01-13
10,10,0,OLD,20236557,스즈메의 문단속: 다녀왔어,2024-01-10,50598241,1.0,22540299,80.3,179499548,4934,2217,81.6,17894,185,228,2024-01-13
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,1860813749,39.9,-162489340,-8,6289975563,189318,-17098,-8.3,649101,1366,5531,2024-01-14
2,2,0,OLD,20235834,위시,2024-01-03,805301203,17.3,-88175295,-9.9,9548027294,82108,-8863,-9.7,994333,1048,3180,2024-01-14
3,3,0,OLD,20212866,서울의 봄,2023-11-22,521736046,11.2,-43856689,-7.8,124586466570,51569,-4128,-7.4,12782344,907,2184,2024-01-14
4,4,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,434968419,9.3,-65435763,-13.1,43265046955,44598,-6937,-13.5,4388553,943,2199,2024-01-14
5,5,0,OLD,20235583,인투 더 월드,2024-01-10,413637974,8.9,9969296,2.5,1310094521,43707,966,2.3,141143,821,1850,2024-01-14
6,6,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,177180804,3.8,9346637,5.6,7953105430,17978,906,5.3,822329,481,715,2024-01-14
7,7,0,OLD,20235353,길위에 김대중,2024-01-10,102280294,2.2,-103454,-0.1,565382177,10226,53,0.5,58643,406,557,2024-01-14
8,8,0,OLD,20234114,괴물,2023-11-29,52840771,1.1,-4041176,-7.1,4494486619,5089,-333,-6.1,457023,185,244,2024-01-14
9,9,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,52285675,1.1,-3890727,-6.9,50687486308,4878,-279,-5.4,4847680,209,252,2024-01-14
10,10,0,OLD,20236557,스즈메의 문단속: 다녀왔어,2024-01-10,47699885,1.0,-2898356,-5.7,227199433,4643,-291,-5.9,22537,182,226,2024-01-14
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,414645429,32.7,-1446168320,-77.7,6704620992,43510,-145808,-77,692611,1243,4755,2024-01-15
2,2,1,OLD,20212866,서울의 봄,2023-11-22,220448541,17.4,-301287505,-57.7,124806915111,22017,-29552,-57.3,12804361,804,1999,2024-01-15
3,3,-1,OLD,20235834,위시,2024-01-03,198533291,15.7,-606767912,-75.3,9746560585,21000,-61108,-74.4,1015333,855,2489,2024-01-15
4,4,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,136271299,10.8,-298697120,-68.7,43401318254,14616,-29982,-67.2,4403169,843,1865,2024-01-15
5,5,0,OLD,20235583,인투 더 월드,2024-01-10,81980986,6.5,-331656988,-80.2,1392075507,9276,-34431,-78.8,150419,680,1361,2024-01-15
6,6,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,46653837,3.7,-130526967,-73.7,7999759267,4859,-13119,-73,827188,404,580,2024-01-15
7,7,0,OLD,20235353,길위에 김대중,2024-01-10,29050324,2.3,-73229970,-71.6,594432501,3141,-7085,-69.3,61784,391,531,2024-01-15
8,8,0,OLD,20234114,괴물,2023-11-29,21465494,1.7,-31375277,-59.4,4515952113,2174,-2915,-57.3,459197,174,237,2024-01-15
