Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Type,release_date_parsed,Korea,Title_Korea,Type_New
Pale Moon // 종이달,No,2019-05-24,5500000.0,7298.0,5.6,Family,slapstick comedy,"Sarah is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",Movie,2019-05-24,1,종이달,Movie
The Drug King // 마약왕,Yes,2021-05-13,5300000.0,12376.0,5.6,"Adventure, Family, Fantasy","maid,female,number in title,murder,family secrets","9-year-old Benni is a toss-up between institutions that cannot tackle her outbursts. She wants to move in with her mother, but she can not handle her wild daughter. After Micha is hired Benni slowly opens up and attaches herself t...",Movie,2021-05-13,1,마약왕,Movie
Misaeng: Incomplete Life // 미생,Yes,2019-08-09,5000000.0,3864.0,5.6,Family,"drug,timeframe 1970s,drug crime","After discovering his grandfather is Santa Claus, Jules has to help him deliver his presents all around the world. But Jules&apos; hatred for Christmas might make that more difficult than Santa thought.",Movie,2019-08-09,1,미생,Movie
Mister Trot: Mr Trot // 미스터 트롯,No,2020-07-14,3400000.0,340.0,5.6,Reality-TV,"tv special,stand up comedy,observational comedy,stand up comedy special","The graduating class at Osborne High is being targeted by a masked assailant, intent on exposing the darkest secret of each victim, and only a group of misfit outsiders can stop the killings.",Movie,2020-07-14,1,미스터 트롯,Movie
My Friend KORIRI // 내 친구 코리리,No,2022-05-25,3300000.0,18716.0,5.6,"Animation, Comedy, Drama","tv special,stand up comedy,stand up comedy special",A young man with an unique ability begins working for a centuries-old bar owner who resolves her customers&apos; emotional troubles by entering their dreams.,Movie,2022-05-25,1,내 친구 코리리,Movie
Pripara: Idol Time Pripara // 프리파라: 아이돌 타임 프리파라,No,2019-10-25,3000000.0,13614.0,5.6,"Horror, Thriller","professional tennis player,tennis,tennis player,shady,tennis match","When Ivy discovers the school bathroom is haunted, Bean helps Ivy to harness her powers. With the help of their classmates, Ivy and Bean orchestrate a ritual that will free the ghosts, save the school, and also mess up Nancy&apos;s day.",Movie,2019-10-25,1,프리파라: 아이돌 타임 프리파라,Movie
My Shy Boss: Season 1 // 내성적인 보스: 시즌1,Yes,2019-09-20,2500000.0,1085.0,5.6,"Short, Comedy","sam and max,microsoft windows,nintendo wii,xbox 360,mature animation","Convinced they&apos;d be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family.",TV Show,2019-09-20,1,내성적인 보스: 시즌1,TV Show
Kingdom: Season 2 // 킹덤: 시즌 2,Yes,2017-06-02,1900000.0,56568.0,5.6,"Adventure, Fantasy, Horror","gay relationship,gay interest,reference to marilyn monroe,homosexual,gay","Dinny and his cowhand friends rescue Laura from a runaway stagecoach after it is robbed by outlaw Pancho Dominguez and his gang. Dinny is attracted to Laura, who isn&apos;t interested in him at all. The climax arises when Pancho&apos;s gang...",TV Show,2017-06-02,1,킹덤: 시즌 2,TV Show
Burning // 버닝,No,2017-06-30,1600000.0,1198.0,5.6,"Documentary, Music","period drama,mother,father,psychological drama,1990s","A humorous view on a changing Saudi, this season includes stories about a global media war, a long-standing tribal feud and a health craze gone too far.",Movie,2017-06-30,1,버닝,Movie
The Great Doctor // 신의,No,2017-05-05,1300000.0,1589.0,5.6,"Drama, Horror, Sci-Fi","interactive drama,playstation 3,xbox 360,microsoft windows,single player",5 teenage girls unleash their inner superheroes to stop King Mercenare from taking over the world.,Movie,2017-05-05,1,신의,Movie
