movieCd,movieNm,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genreNm,director,actor,showTypeGroupNm,showTypeNm,audits
20185784,나의 특별한 형제,113,2018,20190501,개봉,장편,한국,드라마,육상효,"신하균, 이광수, 이솜, 박철민, 권해효, 길해연, 고봉구, 김경남, 김민석, 안지호, 우지현, 우지현, 김현빈, 윤정로, 김중기, 김기천, 양소민, 배명진, 김자영, 김한나, 양조아, 송철호, 박정훈, 서지원, 김동훈, 신안진, 신안진, 오세은, 김서원, 이선주, 김희창, 김승태, 강은아, 고현준, 이채은, 이호원, 목규리, 김태완, 최광일, 이도엽, 김윤호, 연승빈, 전채원, 서희, 선종남, 한경원, 한별, 정유민","2D, 2D, 2D","디지털, 디지털 가치봄, 디지털 중국어자막",12세이상관람가
20183454,요로나의 저주,93,2019,20190417,개봉,장편,미국,공포(호러),마이클 차베즈,"린다 카델리니, 패트리시아 벨라즈퀘즈, 레이몬드 크루즈, 숀 패트릭 토마스","2D, 4D, IMAX, ScreenX","디지털, 4D, IMAX, ScreenX",15세이상관람가
20182501,왓칭,97,2019,20190417,개봉,장편,한국,공포(호러),김성기,"강예원, 이학주, 주석태, 임지현, 김노진, 주석태, 조달환, 동방우, 민경진, 민경진, 어성욱, 김나은, 김미혜, 정지민, 이주형, 이혜숙, 한성관, 이은희",2D,디지털,15세이상관람가
19990220,노팅 힐,124,1999,19990703,개봉,장편,미국,멜로/로맨스,로저 미첼,"줄리아 로버츠, 휴 그랜트","필름, 2D","필름, 디지털",12세관람가
20198982,크게 될 놈,108,2018,20190418,개봉,장편,한국,드라마,강지은,"김해숙, 손호준, 남보라, 박원상, 정자영, 홍성만, 홍성찬, 황희, 김영민, 동방우, 이원종, 강기둥, 구혜령, 안세하, 김성균, 정호빈, 전재진, 박경근, 박대웅, 박성남, 박영일, 박준기, 김남훈, 손영호, 박찬규, 김도율, 김도훈, 신상열, 김문식, 봉신주, 봉신주, 유동균, 김병순, 김상구, 윤단비, 김상철, 김성현, 윤병희, 김세인, 윤승훈, 강도윤, 김은주, 이상수, 이상우, 이정환, 이상진, 이상현, 김재경, 이상훈, 이서한, 장세현, 권일, 장준현, 장진영, 김형종, 김혜란, 이성훈, 전성훈, 이수민, 황성호, 이지훈, 최재영, 이진오, 최재옥, 김승준, 김종호, 조정훈, 강두섭, 정민규, 강신곤, 고건호, 고창술, 곽희찬, 최태영, 권영은, 금송현, 태정, 김근수, 김영주, 김바울, 김병윤, 김사훈, 이동희, 이동희, 김성윤, 김세울, 김왕근, 김왕용, 조명행, 김자홍, 이우진, 조용민, 이원찬, 김하종, 김해연, 이상규, 주석제, 우도호, 나수윤, 남기쁨, 우영택, 우정환, 유소연, 유영래, 진소현, 유종희, 정세연, 정윤석, 정수한, 윤지용, 정지만, 신영진, 이계준, 신중혁, 정현민, 신현욱, 이단, 이대은, 이도은, 이득신, 최선병, 이무녕, 박승배, 이태하, 안문혁, 이석원, 이섭정, 최승일, 이한터, 최영현, 안홍찬, 최우빈, 이시헌, 이영식, 이욱진, 최익준, 박준관, 이은호, 최재웅, 오정환, 백봉기, 최한규, 최홍현, 전용진, 전재진, 오도현, 손지훈, 석영훈, 오창민, 송시현, 송영윤, 성빈, 송지수, 백진환, 박광수, 홍성광, 임동우, 홍정인, 한동호, 한승혁, 한승현, 한승현, 한양희, 황지훈, 한웅기, 황희준, 한정호, 서동민, 홍도성, 홍동균, 홍석우, 박장호, 박인수, 박선우, 이재현",2D,디지털,15세이상관람가
20184889,어벤져스: 엔드게임,180,2018,20190424,개봉,장편,미국,액션,안소니 루소,"로버트 다우니 주니어, 크리스 에반스, 마크 러팔로, 크리스 헴스워스, 스칼렛 요한슨, 제레미 레너, 돈 치들, 폴 러드, 브리 라슨, 카렌 길런, 브래들리 쿠퍼, 조슈 브롤린","2D, 3D, 4D, IMAX, IMAX","디지털, 3D 디지털, 4D, IMAX, IMAX 3D","12세이상관람가, 12세이상관람가"
20198912,노무현과 바보들,92,2019,20190418,개봉,장편,한국,다큐멘터리,김재희,노무현,2D,디지털,12세이상관람가
20199189,미스 스티븐스,86,2016,20190502,개봉,장편,미국,드라마,줄리아 하트,"릴리 레이브, 티모시 샬라메, 릴리 라인하트, 앤서니 퀸틀",2D,디지털,12세이상관람가
20198183,뽀로로 극장판 보물섬 대모험,79,2019,20190425,개봉,장편,한국,애니메이션,윤창섭,"이선, 이미자, 김현지, 홍소영, 정미숙, 김서영, 김환진, 남도형, 정승욱, 이장원, 황창영, 김환진, 남도형, 황창영",2D,디지털,전체관람가
20169323,안도 타다오,73,2016,20190425,개봉,장편,일본,다큐멘터리,미즈노 시게노리,,2D,디지털,전체관람가
