rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,current_date,showTm,prdtYear,prdtStatNm,typeNm,nationNm,genreNm,director,actor,showTypeGroupNm,showTypeNm,audits
9,9,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,21488132,1.7,1220011,6.0,50729242561,2140,137,6.8,4851823,203,242,2024-01-16,124,2022,개봉,장편,일본,애니메이션,이노우에 다케히코,,"2D, 2D, IMAX, DOLBYCINEMA","디지털, 디지털 더빙, IMAX, DOLBYCINEMA",12세이상관람가
10,10,0,NEW,20206946,시민덕희,2024-01-24,17820000,1.4,17820000,100.0,54828000,1980,1980,100.0,6092,6,6,2024-01-16,113,2021,개봉,장편,한국,드라마,박영주,"라미란, 공명, 염혜란, 박병은, 장윤주, 이무생, 안은진, 김율호","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,394905681,28.0,5107347,1.3,7489325007,41458,347,0.8,775180,1253,4501,2024-01-17,122,2023,개봉,장편,한국,기타,최동훈,"류준열, 김태리, 김우빈, 이하늬, 염정아, 조우진, 김의성, 진선규, 신정근, 윤경호, 이시훈, 최미금, 위지웅","2D, 4D, IMAX, ScreenX","디지털, 4D, IMAX, ScreenX",12세이상관람가
2,2,0,OLD,20235834,위시,2024-01-03,195335435,13.8,-9287426,-4.5,10146518881,21566,-604,-2.7,1059069,802,2401,2024-01-17,94,2023,개봉,장편,미국,애니메이션,크리스 벅,"아리아나 데보스, 크리스 파인, 알란 터딕","2D, 2D, 3D, 3D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
3,3,0,OLD,20212866,서울의 봄,2023-11-22,158172827,11.2,-16490573,-9.4,125139751338,16629,-1504,-8.3,12839123,757,1890,2024-01-17,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
4,4,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,113372972,8.0,-9314363,-7.6,43637378561,12330,-835,-6.3,4428664,782,1755,2024-01-17,152,2022,개봉,장편,한국,사극,김한민,"김윤석, 백윤식, 정재영, 허준호, 김성규, 이규형, 이무생, 최덕문, 안보현, 박명훈, 박훈, 문정희, 정기섭, 유성주, 안성봉, 안세호, 이성욱, 오누리, 주석태, 최광제, 최정태, 김중희, 안성기, 여진구, 이제훈, 박용우, 김민상, 공명, 남명렬, 남경읍, 배한성, 김재영, 최단비, 송요셉, 김효민, 강성락, 이건록, 노형원, 임일규, 허재호, 한우진, 이재한, 강신구, 이태형, 김형석, 최돈학, 이지영, 이상호, 전운종, 한대훈, 정대경, 고해성, 남상우, 정영록, 이재우, 고기영, 문바롬, 이동희, 김용준, 손대민, 윤상영, 박형준, 이규탁, 김범수, 박상원, 진범일, 서한돌, 조성국, 이시안, 서대건, 정시훈, 김시우, 김준석, 박성현, 김형록, 황성웅, 위민국, 이민수, 김진형, 윤현승, 남태우, 우혁, 김무섭, 구본혁, 채강, 채원우, 김동환, 한재학, 정동근, 지상우, 송치훈, 김태응, 강민태, 박웅선, 강수호, 박현욱, 김서준, 황재운, 이웅규, 박범규, 김시국, 서현재, 김백겸, 공지삵, 강태우, 이승헌, 함진성, 이동현, 이원희, 박누가, 손수호, 최기표, 황민혁, 정하영, 신형근, 정유준, 서정민, 정민혁, 김태훈, 정종훈, 김서빈, 조현수, 윤영진, 하영진, 정민철, 김명수, 양동혁, 박성현, 정승현, 백경선, 임성민, 엄기영, 박인국, 유명환, 김민수, 오영철, 최지현, 오동훈, 윤혁진, 민주호, 김동형, 이창균, 김경훈, 김진욱, 홍기주, 이종섭, 오창후, 허재욱, 박상준, 허태경, 안준호, 조재현, 최지환, 문형돈, 오지훈, 이시헌, 박원진, 한지은, 신재영, 송광주, 장루이, 현서영, 신치영, 황민형, 김한상, 장유화, 연원모, 김지안, 석예린, 권지희, 문정환, 변봉식, 박광복, 박선애","2D, 2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 한글자막 CC, 디지털 가치봄, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
5,5,0,OLD,20235583,인투 더 월드,2024-01-10,73106135,5.2,-17083291,-18.9,1555371068,8785,-1410,-13.8,169399,542,1002,2024-01-17,91,2023,개봉,장편,미국,애니메이션,벤자민 레너,"엘리자베스 뱅크스, 캐롤 케인, 아콰피나, 쿠마일 난지아니","2D, 2D, 4D, 4D, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, ScreenX, DOLBYCINEMA",전체관람가
6,6,0,NEW,20124315,엔드 오브 에반게리온,2024-01-17,64294942,4.6,64294942,100.0,64294942,6323,6323,100.0,6323,109,251,2024-01-17,86,1997,개봉,장편,일본,애니메이션,안노 히데아키,,"필름, 2D","필름, 디지털",청소년관람불가
7,7,0,NEW,20235854,덤 머니,2024-01-17,51646876,3.7,51646876,100.0,62784376,5917,5917,100.0,7145,465,862,2024-01-17,105,2023,개봉,장편,미국,코미디,크레이그 질레스피,"폴 다노, 세스 로건, 아메리카 페레라, 쉐일린 우들리",2D,디지털,15세이상관람가
8,8,-2,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,42305466,3.0,-5421979,-11.4,8089792178,4417,-554,-11.1,836576,384,520,2024-01-17,94,2023,개봉,장편,일본,애니메이션,오네 히토시,,"2D, 2D, 2D","디지털, 디지털 한글자막 CC, 디지털 더빙",전체관람가
9,9,-2,OLD,20235353,길위에 김대중,2024-01-10,33296601,2.4,-436572,-1.3,661462275,3641,103,2.9,68963,370,535,2024-01-17,125,2023,개봉,장편,한국,다큐멘터리,민환기,"김대중, 김도영, 김재록, 서석규, 김남희, 장현성","2D, 2D","디지털, 디지털 영문자막",12세이상관람가
10,10,-2,OLD,20234114,괴물,2023-11-29,22957897,1.6,100305,0.4,4561767602,2313,47,2.1,463776,167,234,2024-01-17,126,2023,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,384640592,29.7,-10265089,-2.6,7873965599,40751,-707,-1.7,815931,1253,4517,2024-01-18,122,2023,개봉,장편,한국,기타,최동훈,"류준열, 김태리, 김우빈, 이하늬, 염정아, 조우진, 김의성, 진선규, 신정근, 윤경호, 이시훈, 최미금, 위지웅","2D, 4D, IMAX, ScreenX","디지털, 4D, IMAX, ScreenX",12세이상관람가
2,2,0,OLD,20235834,위시,2024-01-03,198540258,15.3,3204823,1.6,10345059139,21943,377,1.7,1081012,812,2432,2024-01-18,94,2023,개봉,장편,미국,애니메이션,크리스 벅,"아리아나 데보스, 크리스 파인, 알란 터딕","2D, 2D, 3D, 3D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
3,3,0,OLD,20212866,서울의 봄,2023-11-22,159599539,12.3,1426712,0.9,125299350877,16671,42,0.3,12855794,755,1900,2024-01-18,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
4,4,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,111214278,8.6,-2158694,-1.9,43748592839,11893,-437,-3.5,4440557,783,1730,2024-01-18,152,2022,개봉,장편,한국,사극,김한민,"김윤석, 백윤식, 정재영, 허준호, 김성규, 이규형, 이무생, 최덕문, 안보현, 박명훈, 박훈, 문정희, 정기섭, 유성주, 안성봉, 안세호, 이성욱, 오누리, 주석태, 최광제, 최정태, 김중희, 안성기, 여진구, 이제훈, 박용우, 김민상, 공명, 남명렬, 남경읍, 배한성, 김재영, 최단비, 송요셉, 김효민, 강성락, 이건록, 노형원, 임일규, 허재호, 한우진, 이재한, 강신구, 이태형, 김형석, 최돈학, 이지영, 이상호, 전운종, 한대훈, 정대경, 고해성, 남상우, 정영록, 이재우, 고기영, 문바롬, 이동희, 김용준, 손대민, 윤상영, 박형준, 이규탁, 김범수, 박상원, 진범일, 서한돌, 조성국, 이시안, 서대건, 정시훈, 김시우, 김준석, 박성현, 김형록, 황성웅, 위민국, 이민수, 김진형, 윤현승, 남태우, 우혁, 김무섭, 구본혁, 채강, 채원우, 김동환, 한재학, 정동근, 지상우, 송치훈, 김태응, 강민태, 박웅선, 강수호, 박현욱, 김서준, 황재운, 이웅규, 박범규, 김시국, 서현재, 김백겸, 공지삵, 강태우, 이승헌, 함진성, 이동현, 이원희, 박누가, 손수호, 최기표, 황민혁, 정하영, 신형근, 정유준, 서정민, 정민혁, 김태훈, 정종훈, 김서빈, 조현수, 윤영진, 하영진, 정민철, 김명수, 양동혁, 박성현, 정승현, 백경선, 임성민, 엄기영, 박인국, 유명환, 김민수, 오영철, 최지현, 오동훈, 윤혁진, 민주호, 김동형, 이창균, 김경훈, 김진욱, 홍기주, 이종섭, 오창후, 허재욱, 박상준, 허태경, 안준호, 조재현, 최지환, 문형돈, 오지훈, 이시헌, 박원진, 한지은, 신재영, 송광주, 장루이, 현서영, 신치영, 황민형, 김한상, 장유화, 연원모, 김지안, 석예린, 권지희, 문정환, 변봉식, 박광복, 박선애","2D, 2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 한글자막 CC, 디지털 가치봄, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
5,5,0,OLD,20235583,인투 더 월드,2024-01-10,71860329,5.5,-1245806,-1.7,1627231397,8584,-201,-2.3,177983,555,994,2024-01-18,91,2023,개봉,장편,미국,애니메이션,벤자민 레너,"엘리자베스 뱅크스, 캐롤 케인, 아콰피나, 쿠마일 난지아니","2D, 2D, 4D, 4D, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, ScreenX, DOLBYCINEMA",전체관람가
6,6,2,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,41856856,3.2,-448610,-1.1,8131649034,4437,20,0.5,841013,394,539,2024-01-18,94,2023,개봉,장편,일본,애니메이션,오네 히토시,,"2D, 2D, 2D","디지털, 디지털 한글자막 CC, 디지털 더빙",전체관람가
7,7,0,OLD,20235854,덤 머니,2024-01-17,38740467,3.0,-12906409,-25.0,101524843,4367,-1550,-26.2,11512,444,793,2024-01-18,105,2023,개봉,장편,미국,코미디,크레이그 질레스피,"폴 다노, 세스 로건, 아메리카 페레라, 쉐일린 우들리",2D,디지털,15세이상관람가
8,8,1,OLD,20235353,길위에 김대중,2024-01-10,31932507,2.5,-1364094,-4.1,693394782,3431,-210,-5.8,72394,369,520,2024-01-18,125,2023,개봉,장편,한국,다큐멘터리,민환기,"김대중, 김도영, 김재록, 서석규, 김남희, 장현성","2D, 2D","디지털, 디지털 영문자막",12세이상관람가
9,9,-3,OLD,20124315,엔드 오브 에반게리온,2024-01-17,24530000,1.9,-39764942,-61.8,88824942,2402,-3921,-62.0,8725,111,237,2024-01-18,86,1997,개봉,장편,일본,애니메이션,안노 히데아키,,"필름, 2D","필름, 디지털",청소년관람불가
10,10,0,OLD,20234114,괴물,2023-11-29,20613620,1.6,-2344277,-10.2,4582381222,2078,-235,-10.2,465854,173,243,2024-01-18,126,2023,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,500596244,32.4,115955652,30.1,8374561843,51234,10483,25.7,867165,1322,4746,2024-01-19,122,2023,개봉,장편,한국,기타,최동훈,"류준열, 김태리, 김우빈, 이하늬, 염정아, 조우진, 김의성, 진선규, 신정근, 윤경호, 이시훈, 최미금, 위지웅","2D, 4D, IMAX, ScreenX","디지털, 4D, IMAX, ScreenX",12세이상관람가
2,2,0,OLD,20235834,위시,2024-01-03,237056174,15.3,38515916,19.4,10582115313,25376,3433,15.6,1106388,830,2598,2024-01-19,94,2023,개봉,장편,미국,애니메이션,크리스 벅,"아리아나 데보스, 크리스 파인, 알란 터딕","2D, 2D, 3D, 3D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
3,3,0,OLD,20212866,서울의 봄,2023-11-22,199708347,12.9,40108808,25.1,125499059224,20032,3361,20.2,12875826,807,2003,2024-01-19,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
4,4,0,OLD,20203702,노량: 죽음의 바다,2023-12-20,136095434,8.8,24881156,22.4,43884688273,14095,2202,18.5,4454652,808,1830,2024-01-19,152,2022,개봉,장편,한국,사극,김한민,"김윤석, 백윤식, 정재영, 허준호, 김성규, 이규형, 이무생, 최덕문, 안보현, 박명훈, 박훈, 문정희, 정기섭, 유성주, 안성봉, 안세호, 이성욱, 오누리, 주석태, 최광제, 최정태, 김중희, 안성기, 여진구, 이제훈, 박용우, 김민상, 공명, 남명렬, 남경읍, 배한성, 김재영, 최단비, 송요셉, 김효민, 강성락, 이건록, 노형원, 임일규, 허재호, 한우진, 이재한, 강신구, 이태형, 김형석, 최돈학, 이지영, 이상호, 전운종, 한대훈, 정대경, 고해성, 남상우, 정영록, 이재우, 고기영, 문바롬, 이동희, 김용준, 손대민, 윤상영, 박형준, 이규탁, 김범수, 박상원, 진범일, 서한돌, 조성국, 이시안, 서대건, 정시훈, 김시우, 김준석, 박성현, 김형록, 황성웅, 위민국, 이민수, 김진형, 윤현승, 남태우, 우혁, 김무섭, 구본혁, 채강, 채원우, 김동환, 한재학, 정동근, 지상우, 송치훈, 김태응, 강민태, 박웅선, 강수호, 박현욱, 김서준, 황재운, 이웅규, 박범규, 김시국, 서현재, 김백겸, 공지삵, 강태우, 이승헌, 함진성, 이동현, 이원희, 박누가, 손수호, 최기표, 황민혁, 정하영, 신형근, 정유준, 서정민, 정민혁, 김태훈, 정종훈, 김서빈, 조현수, 윤영진, 하영진, 정민철, 김명수, 양동혁, 박성현, 정승현, 백경선, 임성민, 엄기영, 박인국, 유명환, 김민수, 오영철, 최지현, 오동훈, 윤혁진, 민주호, 김동형, 이창균, 김경훈, 김진욱, 홍기주, 이종섭, 오창후, 허재욱, 박상준, 허태경, 안준호, 조재현, 최지환, 문형돈, 오지훈, 이시헌, 박원진, 한지은, 신재영, 송광주, 장루이, 현서영, 신치영, 황민형, 김한상, 장유화, 연원모, 김지안, 석예린, 권지희, 문정환, 변봉식, 박광복, 박선애","2D, 2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 한글자막 CC, 디지털 가치봄, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
5,5,0,OLD,20235583,인투 더 월드,2024-01-10,83723109,5.4,11862780,16.5,1710954506,9635,1051,12.2,187618,567,1028,2024-01-19,91,2023,개봉,장편,미국,애니메이션,벤자민 레너,"엘리자베스 뱅크스, 캐롤 케인, 아콰피나, 쿠마일 난지아니","2D, 2D, 4D, 4D, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, ScreenX, DOLBYCINEMA",전체관람가
6,6,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,53286867,3.4,11430011,27.3,8184935901,5438,1001,22.6,846451,410,583,2024-01-19,94,2023,개봉,장편,일본,애니메이션,오네 히토시,,"2D, 2D, 2D","디지털, 디지털 한글자막 CC, 디지털 더빙",전체관람가
7,7,0,OLD,20235854,덤 머니,2024-01-17,39352196,2.5,611729,1.6,140877039,4279,-88,-2.0,15791,439,804,2024-01-19,105,2023,개봉,장편,미국,코미디,크레이그 질레스피,"폴 다노, 세스 로건, 아메리카 페레라, 쉐일린 우들리",2D,디지털,15세이상관람가
8,8,0,OLD,20235353,길위에 김대중,2024-01-10,32806586,2.1,874079,2.7,726201368,3399,-32,-0.9,75793,358,512,2024-01-19,125,2023,개봉,장편,한국,다큐멘터리,민환기,"김대중, 김도영, 김재록, 서석규, 김남희, 장현성","2D, 2D","디지털, 디지털 영문자막",12세이상관람가
9,9,1,OLD,20234114,괴물,2023-11-29,23677572,1.5,3063952,14.9,4606058794,2273,195,9.4,468127,179,252,2024-01-19,126,2023,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
10,10,15,OLD,20236907,지오디 마스터피스 더 무비,2024-01-10,50870000,3.3,37004000,266.9,449736500,2212,1609,266.8,19584,48,74,2024-01-19,107,2023,개봉,장편,한국,공연,손석,"박준형, 윤계상, 데니 안/ 안신원, 손호영, 김태우",2D,디지털,전체관람가
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,1142496720,34.3,641900476,128.2,9517058563,114994,63760,124.4,982159,1379,5242,2024-01-20,122,2023,개봉,장편,한국,기타,최동훈,"류준열, 김태리, 김우빈, 이하늬, 염정아, 조우진, 김의성, 진선규, 신정근, 윤경호, 이시훈, 최미금, 위지웅","2D, 4D, IMAX, ScreenX","디지털, 4D, IMAX, ScreenX",12세이상관람가
2,2,0,OLD,20235834,위시,2024-01-03,555262056,16.7,318205882,134.2,11137377369,57290,31914,125.8,1163678,938,2994,2024-01-20,94,2023,개봉,장편,미국,애니메이션,크리스 벅,"아리아나 데보스, 크리스 파인, 알란 터딕","2D, 2D, 3D, 3D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
3,3,0,OLD,20212866,서울의 봄,2023-11-22,381905114,11.5,182196767,91.2,125880964338,37748,17716,88.4,12913574,835,2073,2024-01-20,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
4,4,1,OLD,20235583,인투 더 월드,2024-01-10,278502388,8.4,194779279,232.6,1989456894,29585,19950,207.1,217203,688,1389,2024-01-20,91,2023,개봉,장편,미국,애니메이션,벤자민 레너,"엘리자베스 뱅크스, 캐롤 케인, 아콰피나, 쿠마일 난지아니","2D, 2D, 4D, 4D, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, ScreenX, DOLBYCINEMA",전체관람가
5,5,-1,OLD,20203702,노량: 죽음의 바다,2023-12-20,243513041,7.3,107417607,78.9,44128201314,25133,11038,78.3,4479785,832,1870,2024-01-20,152,2022,개봉,장편,한국,사극,김한민,"김윤석, 백윤식, 정재영, 허준호, 김성규, 이규형, 이무생, 최덕문, 안보현, 박명훈, 박훈, 문정희, 정기섭, 유성주, 안성봉, 안세호, 이성욱, 오누리, 주석태, 최광제, 최정태, 김중희, 안성기, 여진구, 이제훈, 박용우, 김민상, 공명, 남명렬, 남경읍, 배한성, 김재영, 최단비, 송요셉, 김효민, 강성락, 이건록, 노형원, 임일규, 허재호, 한우진, 이재한, 강신구, 이태형, 김형석, 최돈학, 이지영, 이상호, 전운종, 한대훈, 정대경, 고해성, 남상우, 정영록, 이재우, 고기영, 문바롬, 이동희, 김용준, 손대민, 윤상영, 박형준, 이규탁, 김범수, 박상원, 진범일, 서한돌, 조성국, 이시안, 서대건, 정시훈, 김시우, 김준석, 박성현, 김형록, 황성웅, 위민국, 이민수, 김진형, 윤현승, 남태우, 우혁, 김무섭, 구본혁, 채강, 채원우, 김동환, 한재학, 정동근, 지상우, 송치훈, 김태응, 강민태, 박웅선, 강수호, 박현욱, 김서준, 황재운, 이웅규, 박범규, 김시국, 서현재, 김백겸, 공지삵, 강태우, 이승헌, 함진성, 이동현, 이원희, 박누가, 손수호, 최기표, 황민혁, 정하영, 신형근, 정유준, 서정민, 정민혁, 김태훈, 정종훈, 김서빈, 조현수, 윤영진, 하영진, 정민철, 김명수, 양동혁, 박성현, 정승현, 백경선, 임성민, 엄기영, 박인국, 유명환, 김민수, 오영철, 최지현, 오동훈, 윤혁진, 민주호, 김동형, 이창균, 김경훈, 김진욱, 홍기주, 이종섭, 오창후, 허재욱, 박상준, 허태경, 안준호, 조재현, 최지환, 문형돈, 오지훈, 이시헌, 박원진, 한지은, 신재영, 송광주, 장루이, 현서영, 신치영, 황민형, 김한상, 장유화, 연원모, 김지안, 석예린, 권지희, 문정환, 변봉식, 박광복, 박선애","2D, 2D, 2D, 4D, IMAX, ScreenX, DOLBYCINEMA","디지털, 디지털 한글자막 CC, 디지털 가치봄, 4D, IMAX, ScreenX, DOLBYCINEMA",12세이상관람가
6,6,0,OLD,20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,136692199,4.1,83405332,156.5,8321628100,13951,8513,156.5,860402,468,701,2024-01-20,94,2023,개봉,장편,일본,애니메이션,오네 히토시,,"2D, 2D, 2D","디지털, 디지털 한글자막 CC, 디지털 더빙",전체관람가
7,7,0,NEW,20206946,시민덕희,2024-01-24,96494764,2.9,96494764,100.0,169142764,9180,9180,100.0,17252,271,275,2024-01-20,113,2021,개봉,장편,한국,드라마,박영주,"라미란, 공명, 염혜란, 박병은, 장윤주, 이무생, 안은진, 김율호","2D, 2D","디지털, 디지털 가치봄",15세이상관람가
8,8,0,OLD,20235353,길위에 김대중,2024-01-10,78565634,2.4,45759048,139.5,804767002,7949,4550,133.9,83742,377,531,2024-01-20,125,2023,개봉,장편,한국,다큐멘터리,민환기,"김대중, 김도영, 김재록, 서석규, 김남희, 장현성","2D, 2D","디지털, 디지털 영문자막",12세이상관람가
9,9,-2,OLD,20235854,덤 머니,2024-01-17,51591613,1.6,12239417,31.1,192468652,5093,814,19.0,20884,438,711,2024-01-20,105,2023,개봉,장편,미국,코미디,크레이그 질레스피,"폴 다노, 세스 로건, 아메리카 페레라, 쉐일린 우들리",2D,디지털,15세이상관람가
10,10,-1,OLD,20234114,괴물,2023-11-29,38969766,1.2,15292194,64.6,4645028560,3725,1452,63.9,471852,183,247,2024-01-20,126,2023,개봉,장편,일본,드라마,고레에다 히로카즈,"안도 사쿠라, 다나카 유코, 나가야마 에이타, 쿠로카와 소야, 히이라기 히나타",2D,디지털,12세이상관람가
1,1,0,OLD,20235253,외계+인 2부,2024-01-10,1099515520,34.9,-42981200,-3.8,10616574083,111568,-3426,-3.0,1093727,1357,5012,2024-01-21,122,2023,개봉,장편,한국,기타,최동훈,"류준열, 김태리, 김우빈, 이하늬, 염정아, 조우진, 김의성, 진선규, 신정근, 윤경호, 이시훈, 최미금, 위지웅","2D, 4D, IMAX, ScreenX","디지털, 4D, IMAX, ScreenX",12세이상관람가
2,2,0,OLD,20235834,위시,2024-01-03,499328807,15.9,-55933249,-10.1,11636706176,51208,-6082,-10.6,1214886,950,2880,2024-01-21,94,2023,개봉,장편,미국,애니메이션,크리스 벅,"아리아나 데보스, 크리스 파인, 알란 터딕","2D, 2D, 3D, 3D, 4D, 4D, DOLBYCINEMA","디지털, 디지털 더빙, 3D 디지털, 3D 더빙, 4D 더빙, 4D, DOLBYCINEMA",전체관람가
3,3,0,OLD,20212866,서울의 봄,2023-11-22,337310665,10.7,-44594449,-11.7,126218275003,33334,-4414,-11.7,12946908,814,1980,2024-01-21,141,2022,개봉,장편,한국,드라마,김성수,"황정민, 정우성, 이성민, 박해준, 김성균, 김의성, 정동환, 안내상, 유성주, 최병모, 박훈, 이재윤, 김성오, 남윤호, 홍서준, 안세호, 정형석, 박정학, 박원상, 박민이, 염동헌, 전진기, 차래형, 공재민, 권혁, 한창현, 송영근, 전수지, 서광재, 임철형, 현봉식, 곽자형, 전운종, 이승희, 김기무, 문성복, 김옥주, 박정표, 곽진석, 한규원, 우미화, 차건우, 최원경, 정만식, 정해인, 이준혁, 이귀우, 우아름, 김지원, 최기동, 양영문","2D, 2D, 2D, IMAX","디지털, 디지털 한글자막 CC, 디지털 가치봄, IMAX",12세이상관람가
4,4,0,OLD,20235583,인투 더 월드,2024-01-10,269438778,8.6,-9063610,-3.3,2258895672,28689,-896,-3.0,245892,693,1371,2024-01-21,91,2023,개봉,장편,미국,애니메이션,벤자민 레너,"엘리자베스 뱅크스, 캐롤 케인, 아콰피나, 쿠마일 난지아니","2D, 2D, 4D, 4D, ScreenX, DOLBYCINEMA","디지털, 디지털 더빙, 4D 더빙, 4D, ScreenX, DOLBYCINEMA",전체관람가
